number,incident_state
INC0000045,New
INC0000045,Resolved
INC0000045,Resolved
INC0000045,Closed
INC0000047,New
INC0000047,Active
INC0000047,Active
INC0000047,Active
INC0000047,Active
INC0000047,Active
INC0000047,Awaiting User Info
INC0000047,Resolved
INC0000047,Closed
INC0000057,New
INC0000057,New
INC0000057,New
INC0000057,New
INC0000057,New
INC0000057,Resolved
INC0000057,Closed
INC0000060,New
INC0000060,Active
INC0000060,Resolved
INC0000060,Closed
INC0000062,New
INC0000062,New
INC0000062,New
INC0000062,New
INC0000062,New
INC0000062,New
INC0000062,Resolved
INC0000062,Closed
INC0000063,New
INC0000063,New
INC0000063,New
INC0000063,New
INC0000063,New
INC0000063,New
INC0000063,Resolved
INC0000063,Closed
INC0000064,New
INC0000064,New
INC0000064,Active
INC0000064,Active
INC0000064,Active
INC0000064,Active
INC0000064,Active
INC0000064,Resolved
INC0000064,Closed
INC0000065,New
INC0000065,New
INC0000065,New
INC0000065,New
INC0000065,New
INC0000065,New
INC0000065,New
INC0000065,New
INC0000065,New
INC0000065,New
INC0000065,Awaiting User Info
INC0000065,Resolved
INC0000065,Closed
INC0000066,New
INC0000066,New
INC0000066,Resolved
INC0000066,Closed
INC0000067,New
INC0000067,New
INC0000067,New
INC0000067,Active
INC0000067,Active
INC0000067,Active
INC0000067,Active
INC0000067,Active
INC0000067,Active
INC0000067,Resolved
INC0000067,Closed
INC0000070,New
INC0000070,Active
INC0000070,Active
INC0000070,Awaiting User Info
INC0000070,Awaiting User Info
INC0000070,Awaiting User Info
INC0000070,Resolved
INC0000070,Closed
INC0000071,New
INC0000071,New
INC0000071,New
INC0000071,New
INC0000071,Awaiting User Info
INC0000071,Awaiting User Info
INC0000071,Resolved
INC0000071,Closed
INC0000073,Active
INC0000073,Active
INC0000073,Active
INC0000073,Active
INC0000073,Resolved
INC0000073,Closed
INC0000074,Active
INC0000074,Awaiting User Info
INC0000074,Awaiting User Info
INC0000074,Awaiting User Info
INC0000074,Resolved
INC0000074,Closed
INC0000076,New
INC0000076,Resolved
INC0000076,Closed
INC0000077,New
INC0000077,New
INC0000077,New
INC0000077,New
INC0000077,Resolved
INC0000077,Closed
INC0000079,New
INC0000079,New
INC0000079,Active
INC0000079,Resolved
INC0000079,Closed
INC0000080,New
INC0000080,New
INC0000080,New
INC0000080,New
INC0000080,New
INC0000080,Active
INC0000080,Resolved
INC0000080,Closed
INC0000083,New
INC0000083,New
INC0000083,New
INC0000083,Resolved
INC0000083,Closed
INC0000084,Active
INC0000084,Awaiting User Info
INC0000084,Awaiting User Info
INC0000084,Awaiting User Info
INC0000084,Resolved
INC0000084,Closed
INC0000085,New
INC0000085,New
INC0000085,Resolved
INC0000085,Closed
INC0000086,New
INC0000086,New
INC0000086,New
INC0000086,New
INC0000086,New
INC0000086,New
INC0000086,New
INC0000086,Resolved
INC0000086,Closed
INC0000087,New
INC0000087,New
INC0000087,Resolved
INC0000087,Closed
INC0000088,New
INC0000088,Resolved
INC0000088,Closed
INC0000089,Active
INC0000089,Active
INC0000089,Active
INC0000089,Active
INC0000089,Active
INC0000089,Awaiting Problem
INC0000089,Awaiting Problem
INC0000089,Awaiting Problem
INC0000089,Resolved
INC0000089,Closed
INC0000092,Active
INC0000092,Active
INC0000092,Active
INC0000092,Resolved
INC0000092,Closed
INC0000093,Resolved
INC0000093,Closed
INC0000094,Active
INC0000094,Awaiting User Info
INC0000094,Awaiting User Info
INC0000094,Resolved
INC0000094,Closed
INC0000098,New
INC0000098,New
INC0000098,New
INC0000098,New
INC0000098,Resolved
INC0000098,Closed
INC0000099,New
INC0000099,New
INC0000099,Resolved
INC0000099,Closed
INC0000100,Active
INC0000100,Active
INC0000100,Resolved
INC0000100,Closed
INC0000101,New
INC0000101,New
INC0000101,Active
INC0000101,Active
INC0000101,Active
INC0000101,Resolved
INC0000101,Closed
INC0000102,New
INC0000102,New
INC0000102,Awaiting User Info
INC0000102,Awaiting User Info
INC0000102,Awaiting User Info
INC0000102,Awaiting User Info
INC0000102,Active
INC0000102,Active
INC0000102,Active
INC0000102,Active
INC0000102,Active
INC0000102,Active
INC0000102,Awaiting User Info
INC0000102,Awaiting User Info
INC0000102,Awaiting User Info
INC0000102,Resolved
INC0000102,Active
INC0000102,Resolved
INC0000102,Closed
INC0000103,New
INC0000103,New
INC0000103,Resolved
INC0000103,Closed
INC0000104,New
INC0000104,New
INC0000104,Active
INC0000104,Active
INC0000104,Active
INC0000104,Resolved
INC0000104,Closed
INC0000105,New
INC0000105,New
INC0000105,New
INC0000105,New
INC0000105,New
INC0000105,New
INC0000105,Resolved
INC0000105,Closed
INC0000110,Active
INC0000110,Active
INC0000110,Resolved
INC0000110,Closed
INC0000111,New
INC0000111,New
INC0000111,Resolved
INC0000111,Closed
INC0000112,New
INC0000112,New
INC0000112,New
INC0000112,New
INC0000112,Resolved
INC0000112,Closed
INC0000113,New
INC0000113,Active
INC0000113,Active
INC0000113,Resolved
INC0000113,Closed
INC0000114,New
INC0000114,New
INC0000114,New
INC0000114,New
INC0000114,Awaiting User Info
INC0000114,Awaiting User Info
INC0000114,Awaiting User Info
INC0000114,Resolved
INC0000114,Closed
INC0000115,New
INC0000115,New
INC0000115,New
INC0000115,New
INC0000115,Resolved
INC0000115,Closed
INC0000116,New
INC0000116,New
INC0000116,Resolved
INC0000116,Closed
INC0000119,New
INC0000119,Active
INC0000119,Resolved
INC0000119,Closed
INC0000121,Active
INC0000121,Resolved
INC0000121,Closed
INC0000122,New
INC0000122,New
INC0000122,New
INC0000122,Resolved
INC0000122,Closed
INC0000123,New
INC0000123,New
INC0000123,Resolved
INC0000123,Closed
INC0000124,Active
INC0000124,Active
INC0000124,Resolved
INC0000124,Closed
INC0000125,New
INC0000125,New
INC0000125,New
INC0000125,Active
INC0000125,Active
INC0000125,Resolved
INC0000125,Closed
INC0000126,New
INC0000126,New
INC0000126,Resolved
INC0000126,Closed
INC0000128,New
INC0000128,New
INC0000128,New
INC0000128,Active
INC0000128,Active
INC0000128,Resolved
INC0000128,Closed
INC0000129,New
INC0000129,Awaiting User Info
INC0000129,Awaiting User Info
INC0000129,Awaiting User Info
INC0000129,Awaiting User Info
INC0000129,Awaiting User Info
INC0000129,Awaiting User Info
INC0000129,Awaiting User Info
INC0000129,Awaiting User Info
INC0000129,Awaiting User Info
INC0000129,Awaiting User Info
INC0000129,Resolved
INC0000129,Closed
INC0000130,New
INC0000130,New
INC0000130,Active
INC0000130,Active
INC0000130,Resolved
INC0000130,Closed
INC0000131,Active
INC0000131,Awaiting User Info
INC0000131,Resolved
INC0000131,Closed
INC0000132,New
INC0000132,New
INC0000132,New
INC0000132,Active
INC0000132,Resolved
INC0000132,Closed
INC0000134,New
INC0000134,New
INC0000134,Active
INC0000134,Resolved
INC0000134,Closed
INC0000135,Active
INC0000135,Active
INC0000135,Active
INC0000135,Active
INC0000135,Active
INC0000135,Resolved
INC0000135,Resolved
INC0000135,Closed
INC0000137,New
INC0000137,New
INC0000137,Resolved
INC0000137,Closed
INC0000139,New
INC0000139,New
INC0000139,New
INC0000139,New
INC0000139,Resolved
INC0000139,Closed
INC0000140,Active
INC0000140,Active
INC0000140,Active
INC0000140,Active
INC0000140,Active
INC0000140,Resolved
INC0000140,Closed
INC0000141,Active
INC0000141,Active
INC0000141,Resolved
INC0000141,Closed
INC0000146,New
INC0000146,New
INC0000146,Resolved
INC0000146,Closed
INC0000147,Active
INC0000147,Active
INC0000147,Active
INC0000147,Active
INC0000147,Active
INC0000147,Resolved
INC0000147,Closed
INC0000148,New
INC0000148,New
INC0000148,Resolved
INC0000148,Closed
INC0000149,New
INC0000149,New
INC0000149,Resolved
INC0000149,Closed
INC0000152,New
INC0000152,Awaiting User Info
INC0000152,Awaiting User Info
INC0000152,Resolved
INC0000152,Closed
INC0000153,New
INC0000153,New
INC0000153,Resolved
INC0000153,Closed
INC0000155,New
INC0000155,New
INC0000155,Resolved
INC0000155,Closed
INC0000156,New
INC0000156,New
INC0000156,Resolved
INC0000156,Closed
INC0000158,New
INC0000158,Resolved
INC0000158,Closed
INC0000159,New
INC0000159,New
INC0000159,New
INC0000159,Resolved
INC0000159,Resolved
INC0000159,Closed
INC0000160,Resolved
INC0000160,Closed
INC0000161,New
INC0000161,New
INC0000161,New
INC0000161,New
INC0000161,New
INC0000161,New
INC0000161,New
INC0000161,Awaiting User Info
INC0000161,Awaiting User Info
INC0000161,Resolved
INC0000161,Closed
INC0000164,New
INC0000164,Active
INC0000164,Active
INC0000164,Active
INC0000164,Active
INC0000164,Resolved
INC0000164,Closed
INC0000166,New
INC0000166,New
INC0000166,Resolved
INC0000166,Closed
INC0000167,New
INC0000167,Active
INC0000167,Resolved
INC0000167,Closed
INC0000168,New
INC0000168,Resolved
INC0000168,Closed
INC0000169,New
INC0000169,Resolved
INC0000169,Closed
INC0000171,New
INC0000171,New
INC0000171,New
INC0000171,Awaiting User Info
INC0000171,Awaiting User Info
INC0000171,Awaiting User Info
INC0000171,Awaiting User Info
INC0000171,Awaiting User Info
INC0000171,Awaiting User Info
INC0000171,Awaiting User Info
INC0000171,Awaiting User Info
INC0000171,Awaiting User Info
INC0000171,Resolved
INC0000171,Closed
INC0000172,New
INC0000172,New
INC0000172,New
INC0000172,Active
INC0000172,Active
INC0000172,Active
INC0000172,Awaiting User Info
INC0000172,Awaiting User Info
INC0000172,Resolved
INC0000172,Closed
INC0000173,New
INC0000173,New
INC0000173,Active
INC0000173,Awaiting User Info
INC0000173,Awaiting User Info
INC0000173,Awaiting User Info
INC0000173,Resolved
INC0000173,Closed
INC0000174,New
INC0000174,New
INC0000174,New
INC0000174,New
INC0000174,New
INC0000174,Resolved
INC0000174,Closed
INC0000176,New
INC0000176,Resolved
INC0000176,Closed
INC0000178,New
INC0000178,New
INC0000178,Resolved
INC0000178,Closed
INC0000179,Active
INC0000179,Resolved
INC0000179,Closed
INC0000192,New
INC0000192,Resolved
INC0000192,Closed
INC0000193,New
INC0000193,Active
INC0000193,Active
INC0000193,Active
INC0000193,Resolved
INC0000193,Closed
INC0000194,New
INC0000194,Resolved
INC0000194,Closed
INC0000195,Active
INC0000195,Active
INC0000195,Resolved
INC0000195,Closed
INC0000197,New
INC0000197,New
INC0000197,New
INC0000197,New
INC0000197,Active
INC0000197,Active
INC0000197,Awaiting User Info
INC0000197,Awaiting User Info
INC0000197,Active
INC0000197,Active
INC0000197,Active
INC0000197,Active
INC0000197,Active
INC0000197,Active
INC0000197,Active
INC0000197,Active
INC0000197,Active
INC0000197,Active
INC0000197,Awaiting User Info
INC0000197,Awaiting User Info
INC0000197,Awaiting User Info
INC0000197,Active
INC0000197,Awaiting User Info
INC0000197,Active
INC0000197,Resolved
INC0000197,Closed
INC0000199,Resolved
INC0000199,Closed
INC0000204,New
INC0000204,Resolved
INC0000204,Resolved
INC0000204,Closed
INC0000207,New
INC0000207,New
INC0000207,New
INC0000207,Resolved
INC0000207,Closed
INC0000211,Active
INC0000211,Active
INC0000211,Active
INC0000211,Resolved
INC0000211,Closed
INC0000213,Active
INC0000213,Resolved
INC0000213,Closed
INC0000217,New
INC0000217,New
INC0000217,New
INC0000217,New
INC0000217,Awaiting User Info
INC0000217,Awaiting User Info
INC0000217,Resolved
INC0000217,Closed
INC0000218,New
INC0000218,New
INC0000218,New
INC0000218,New
INC0000218,Resolved
INC0000218,Resolved
INC0000218,Closed
INC0000220,Active
INC0000220,Active
INC0000220,Active
INC0000220,Awaiting User Info
INC0000220,Resolved
INC0000220,Closed
INC0000221,New
INC0000221,New
INC0000221,Active
INC0000221,Resolved
INC0000221,Closed
INC0000223,New
INC0000223,New
INC0000223,Active
INC0000223,Active
INC0000223,Awaiting User Info
INC0000223,Awaiting User Info
INC0000223,Awaiting User Info
INC0000223,Awaiting User Info
INC0000223,Resolved
INC0000223,Closed
INC0000228,New
INC0000228,New
INC0000228,Resolved
INC0000228,Closed
INC0000230,New
INC0000230,Active
INC0000230,Awaiting User Info
INC0000230,Awaiting User Info
INC0000230,Active
INC0000230,Awaiting Problem
INC0000230,Awaiting Problem
INC0000230,Active
INC0000230,Resolved
INC0000230,Closed
INC0000232,New
INC0000232,New
INC0000232,New
INC0000232,New
INC0000232,New
INC0000232,Awaiting User Info
INC0000232,Awaiting User Info
INC0000232,Awaiting User Info
INC0000232,Awaiting User Info
INC0000232,Awaiting User Info
INC0000232,Awaiting User Info
INC0000232,Resolved
INC0000232,Closed
INC0000236,New
INC0000236,New
INC0000236,Resolved
INC0000236,Closed
INC0000237,Active
INC0000237,Active
INC0000237,Resolved
INC0000237,Closed
INC0000246,New
INC0000246,Active
INC0000246,Active
INC0000246,Awaiting User Info
INC0000246,Awaiting User Info
INC0000246,Active
INC0000246,Active
INC0000246,Resolved
INC0000246,Closed
INC0000250,New
INC0000250,New
INC0000250,New
INC0000250,Active
INC0000250,Active
INC0000250,Active
INC0000250,Active
INC0000250,Active
INC0000250,Active
INC0000250,Awaiting User Info
INC0000250,Awaiting User Info
INC0000250,Awaiting User Info
INC0000250,Awaiting User Info
INC0000250,Awaiting User Info
INC0000250,Resolved
INC0000250,Resolved
INC0000250,Closed
INC0000253,New
INC0000253,New
INC0000253,New
INC0000253,New
INC0000253,New
INC0000253,Resolved
INC0000253,Closed
INC0000257,New
INC0000257,New
INC0000257,Resolved
INC0000257,Closed
INC0000259,New
INC0000259,Active
INC0000259,Active
INC0000259,Active
INC0000259,Active
INC0000259,Awaiting User Info
INC0000259,Active
INC0000259,Active
INC0000259,Resolved
INC0000259,Closed
INC0000260,New
INC0000260,Resolved
INC0000260,Closed
INC0000261,Active
INC0000261,Active
INC0000261,Active
INC0000261,Active
INC0000261,Active
INC0000261,Active
INC0000261,Resolved
INC0000261,Closed
INC0000262,Active
INC0000262,Active
INC0000262,Active
INC0000262,Active
INC0000262,Active
INC0000262,Active
INC0000262,Resolved
INC0000262,Closed
INC0000265,New
INC0000265,New
INC0000265,New
INC0000265,New
INC0000265,New
INC0000265,New
INC0000265,Resolved
INC0000265,Closed
INC0000266,Active
INC0000266,Active
INC0000266,Awaiting User Info
INC0000266,Awaiting User Info
INC0000266,Awaiting User Info
INC0000266,Awaiting User Info
INC0000266,Awaiting User Info
INC0000266,Active
INC0000266,Active
INC0000266,Active
INC0000266,Resolved
INC0000266,Closed
INC0000268,New
INC0000268,New
INC0000268,Awaiting Problem
INC0000268,Active
INC0000268,Active
INC0000268,Active
INC0000268,Awaiting User Info
INC0000268,Active
INC0000268,Active
INC0000268,Awaiting User Info
INC0000268,Awaiting User Info
INC0000268,Awaiting User Info
INC0000268,Awaiting User Info
INC0000268,Awaiting User Info
INC0000268,Active
INC0000268,Active
INC0000268,Resolved
INC0000268,Closed
INC0000269,Resolved
INC0000269,Closed
INC0000272,New
INC0000272,New
INC0000272,New
INC0000272,New
INC0000272,New
INC0000272,New
INC0000272,New
INC0000272,New
INC0000272,New
INC0000272,New
INC0000272,Resolved
INC0000272,Closed
INC0000273,Active
INC0000273,Active
INC0000273,Active
INC0000273,Active
INC0000273,Resolved
INC0000273,Closed
INC0000278,Active
INC0000278,Active
INC0000278,Active
INC0000278,Active
INC0000278,Resolved
INC0000278,Closed
INC0000279,New
INC0000279,New
INC0000279,Resolved
INC0000279,Closed
INC0000280,New
INC0000280,New
INC0000280,New
INC0000280,New
INC0000280,New
INC0000280,Active
INC0000280,Awaiting User Info
INC0000280,Awaiting User Info
INC0000280,Active
INC0000280,Active
INC0000280,Resolved
INC0000280,Closed
INC0000282,Active
INC0000282,Active
INC0000282,Resolved
INC0000282,Closed
INC0000283,Active
INC0000283,Active
INC0000283,Active
INC0000283,Active
INC0000283,Active
INC0000283,Active
INC0000283,Active
INC0000283,Resolved
INC0000283,Closed
INC0000284,New
INC0000284,Active
INC0000284,Active
INC0000284,Active
INC0000284,Resolved
INC0000284,Closed
INC0000285,New
INC0000285,New
INC0000285,New
INC0000285,New
INC0000285,Resolved
INC0000285,Closed
INC0000286,Active
INC0000286,Active
INC0000286,Active
INC0000286,Resolved
INC0000286,Closed
INC0000290,Resolved
INC0000290,Closed
INC0000292,New
INC0000292,New
INC0000292,New
INC0000292,Active
INC0000292,Active
INC0000292,Active
INC0000292,Active
INC0000292,Active
INC0000292,Resolved
INC0000292,Closed
INC0000294,New
INC0000294,New
INC0000294,New
INC0000294,Awaiting Problem
INC0000294,Awaiting Problem
INC0000294,Awaiting Problem
INC0000294,Awaiting Problem
INC0000294,Resolved
INC0000294,Active
INC0000294,Active
INC0000294,Active
INC0000294,Awaiting User Info
INC0000294,Awaiting User Info
INC0000294,Awaiting User Info
INC0000294,Awaiting User Info
INC0000294,Awaiting User Info
INC0000294,Active
INC0000294,Active
INC0000294,Resolved
INC0000294,Resolved
INC0000294,Closed
INC0000295,New
INC0000295,Awaiting User Info
INC0000295,Awaiting User Info
INC0000295,Resolved
INC0000295,Closed
INC0000297,New
INC0000297,New
INC0000297,Awaiting User Info
INC0000297,Awaiting User Info
INC0000297,Resolved
INC0000297,Closed
INC0000298,Active
INC0000298,Awaiting User Info
INC0000298,Awaiting User Info
INC0000298,Resolved
INC0000298,Closed
INC0000301,New
INC0000301,New
INC0000301,New
INC0000301,New
INC0000301,New
INC0000301,Resolved
INC0000301,Closed
INC0000302,New
INC0000302,Active
INC0000302,Active
INC0000302,Active
INC0000302,Active
INC0000302,Awaiting User Info
INC0000302,Awaiting User Info
INC0000302,Awaiting User Info
INC0000302,Resolved
INC0000302,Closed
INC0000303,Active
INC0000303,Active
INC0000303,Awaiting Problem
INC0000303,Awaiting User Info
INC0000303,Awaiting Problem
INC0000303,Awaiting Problem
INC0000303,Resolved
INC0000303,Closed
INC0000304,New
INC0000304,Awaiting User Info
INC0000304,Awaiting User Info
INC0000304,Awaiting User Info
INC0000304,Resolved
INC0000304,Closed
INC0000305,New
INC0000305,New
INC0000305,New
INC0000305,New
INC0000305,Awaiting User Info
INC0000305,Awaiting User Info
INC0000305,Awaiting User Info
INC0000305,Awaiting User Info
INC0000305,Resolved
INC0000305,Closed
INC0000306,New
INC0000306,New
INC0000306,Resolved
INC0000306,Closed
INC0000307,Active
INC0000307,Awaiting User Info
INC0000307,Awaiting User Info
INC0000307,Resolved
INC0000307,Closed
